股票代號,股票名稱,買進日期,賣出日期,買進價格,賣出價格,個人漲跌幅(%),同期大盤漲跌幅(%),最大虧損MAE(%),RSI_14,乖離率20MA(%),外資買賣超(股),投信買賣超(股),散戶融資增減(張),營收年增率(%)
5464,霖宏,2014-03-26,2014-03-31,,,-0.19,1.28,-1.7,79.58,12.26,0.0,0.0,0.0,-11.16
3529,力旺,2014-04-09,2014-04-14,,,-3.55,-0.82,-8.19,80.69,23.13,282886.0,-1091000.0,0.0,105.78
5263,智崴,2014-04-09,2014-04-21,,,-6.55,0.23,-10.23,79.96,25.71,28000.0,0.0,0.0,1830.02
3232,昱捷,2014-04-10,2014-04-22,,,-4.23,0.3,-2.93,59.48,5.4399999999999995,-40000.0,0.0,0.0,-25.78
3512,能緹,2014-05-05,2014-05-15,,,29.06,0.12,0.0,81.41,26.61,76000.0,0.0,0.0,1.72
3060,銘異,2014-04-08,2014-05-16,,,-5.75,0.01,-14.83,72.92,12.23,1017000.0,-5000.0,0.0,3.17
3529,力旺,2014-04-28,2014-05-20,,,26.08,0.89,0.0,28.21,-9.36,2096000.0,-301000.0,0.0,1.02
2390,云辰,2014-05-19,2014-05-29,,,0.78,2.35,-5.37,70.24,13.350000000000001,-112147.0,0.0,0.0,82.07
3268,海德威,2014-05-29,2014-06-03,,,-1.68,0.16,-5.76,78.25,29.04,44000.0,0.0,0.0,15.17
3268,海德威,2014-06-05,2014-06-10,,,-3.48,0.9,-8.1,77.52,25.91,52000.0,0.0,0.0,15.17
3529,力旺,2014-05-23,2014-06-11,,,14.56,2.47,0.0,83.62,24.93,295000.0,-278000.0,0.0,34.92
2390,云辰,2014-06-03,2014-06-13,,,16.49,0.8,-4.02,43.03,-5.7,32000.0,0.0,0.0,82.07
3060,銘異,2014-05-29,2014-06-25,,,8.14,1.62,-1.0,49.55,-6.2,9000.0,-2000.0,0.0,-4.05
5269,祥碩,2014-05-29,2014-07-04,,,30.37,5.11,-6.16,95.16,48.65,368000.0,0.0,0.0,62.48
3580,友威科,2014-06-25,2014-07-07,,,20.87,3.58,-7.53,95.61,52.53,0.0,0.0,0.0,-27.6
5310,天剛,2014-06-25,2014-07-07,,,11.21,3.58,-0.28,78.63,18.72,0.0,0.0,0.0,-23.66
3520,振維,2014-07-08,2014-07-18,,,-1.25,-0.45,0.0,77.8,21.3,27000.0,0.0,0.0,26.0
6228,全譜,2014-07-10,2014-07-22,,,13.12,0.07,0.0,74.49,27.98,2000.0,0.0,0.0,-15.43
6101,寬魚國際,2014-07-14,2014-07-25,,,9.38,-0.3,-0.21,80.15,34.72,1000.0,0.0,0.0,74.45
4739,康普,2014-08-14,2014-08-15,,,1.16,-0.25,0.0,83.33,22.93,-2000.0,0.0,0.0,29.82
2390,云辰,2014-08-08,2014-08-20,,,-10.04,2.59,-12.72,15.52,-38.73,-83000.0,0.0,0.0,137.03
